MeasuredParameterId	DateTime	Value	EcomonMonitoringPoint	Ecomontimestamp_ms	KazHydrometAirPostId	MaxValueDay	MaxValueMonth	Month	Year	MaxValuePerMonth	MaxValuePerYear
13		0.17			1	24		1	2014	0.37	
13		0.1114			1	17		8	2015	0.27	
13		0.126451923			1	13		4	2015	0.32	
13		0.210520833			1	31		12	2015	0.42	
13		0.096019231			1	21		7	2015	0.3	
13		0.108653846			1	6		6	2015	0.22	
13		0.108206522			1	18		5	2015	0.38	
13		0.157954545			1	28		3	2015	0.36	
13		0.1276			1	21		11	2015	0.29	
13		0.125092593			1	22		10	2015	0.8	
13		0.11366			1	23		9	2015	0.25	
13		0.161458333			1	9		2	2015	0.36	
13		0.187083333			1	16		1	2015	0.37	
13		0.095480769			1	5		8	2016	0.42	
13		0.148653846			1	16		4	2016	0.43	
13		0.118854167			1	15		12	2016	0.29	
13		0.1178			1	13		7	2016	0.25	
13		0.088951923			1	8		6	2016	0.33	
13		0.130782609			1	25		5	2016	0.39	
13		0.173586957			1	5		3	2016	0.43	
13		0.126846154			1	3		11	2016	0.43	
13		0.100480769			1	31		10	2016	0.21	
13		0.0957			1	14		9	2016	0.32	
13		0.235			1	22		2	2016	0.44	
13		0.166956522			1	4		1	2016	0.32	
13		0.10625			1	31		8	2017	0.29	
13		0.0698			1	25		4	2017	0.21	
13		0.0663			1	27		7	2017	0.21	
13		0.068365385			1	2		6	2017	0.15	
13		0.071979167			1	4		5	2017	0.5	
13		0.109413043			1	1		3	2017	0.62	
13		0.108461538			1	28		10	2017	0.28	
13		0.1164			1	11		9	2017	0.26	
13		0.115625			1	7		2	2017	0.3	
13		0.113478261			1	19		1	2017	0.37	
16		0.00951			1	15		8	2007	0.038	
16		0.011747475			1	5		4	2007	0.037	
16		0.018467391			1	12		12	2007	0.05	
16		0.007951923			1	4		7	2007	0.029	
16		0.010423077			1	23		6	2007	0.031	
16		0.007257732			1	16		5	2007	0.031	
16		0.03063			1	3		3	2007	0.166	
16		0.016442308			1	5		11	2007	0.05	
16		0.012605769			1	27		10	2007	0.054	
16		0.010554455			1	19		9	2007	0.033	
16		0.017260417			1	1		2	2007	0.056	
16		0.016828283			1	18		1	2007	0.096	
16		0.01165			1	21		8	2008	0.039	
16		0.012548077			1	5		4	2008	0.05	
16		0.019010417			1	13		12	2008	0.074	
16		0.012115385			1	28		7	2008	0.039	
16		0.011818182			1	3		6	2008	0.035	
16		0.013061856			1	14		5	2008	0.046	
16		0.011583333			1	28		3	2008	0.054	
16		0.02115			1	22		11	2008	0.209	
16		0.012424242			1	31		10	2008	0.039	
16		0.01255			1	20		9	2008	0.1	
